date,USDC,USDT,PYUSD,RLUSD,USDG,USDTB,FDUSD,USDH,USDP,total
2019-05-01,577327.009177,0,0,0,0,0,0,0,0,577327.009177
2019-06-01,3009294.022177,0,0,0,0,0,0,0,0,3009294.022177
2019-07-01,15835960.677680,0,0,0,0,0,0,0,0,15835960.677680
2019-08-01,11218642.249982,0,0,0,0,0,0,0,0,11218642.249982
2019-09-01,3560434.618849,0,0,0,0,0,0,0,0,3560434.618849
2019-10-01,3565768.929479,0,0,0,0,0,0,0,0,3565768.929479
2019-11-01,4672024.071722,0,0,0,0,0,0,0,0,4672024.071722
2019-12-01,9647196.655560,0,0,0,0,0,0,0,0,9647196.655560
2020-01-01,7216925.250051,1372148.792888,0,0,0,0,0,0,0,8589074.042939
2020-02-01,11357930.425447,3954921.153275,0,0,0,0,0,0,0,15312851.578721
2020-03-01,15431211.801764,837508.088618,0,0,0,0,0,0,0,16268719.890382
2020-04-01,4867876.025363,642459.761555,0,0,0,0,0,0,0,5510335.786919
2020-05-01,6581048.975899,3109195.272369,0,0,0,0,0,0,0,9690244.248268
2020-06-01,85818834.715025,283891394.940007,0,0,0,0,0,0,0,369710229.655032
2020-07-01,661767717.597549,130614570.860475,0,0,0,0,0,0,0,792382288.458024
2020-08-01,310259206.747272,200769141.051678,0,0,0,0,0,0,0,511028347.798951
2020-09-01,372508457.076950,314194561.757770,0,0,0,0,0,0,0,686703018.834720
2020-10-01,458754990.916061,200872749.028436,0,0,0,0,0,0,0,659627739.944496
2020-11-01,931220907.220319,328670280.797216,0,0,0,0,0,0,0,1259891188.017535
2020-12-01,904614897.659272,443580273.678154,0,0,0,0,0,0,0,1348195171.337425
2021-01-01,3167748619.759241,1459605358.277712,0,0,0,0,0,0,0,4627353978.036952
2021-02-01,3819999415.475164,927786957.917559,0,0,0,0,0,0,0,4747786373.392723
2021-03-01,2919428228.296406,951957071.548516,0,0,0,0,0,0,0,3871385299.844922
2021-04-01,6946874720.587293,1838038820.030101,0,0,0,0,0,0,0,8784913540.617393
2021-05-01,16147120381.455721,5979810157.629721,0,0,0,0,0,0,0,22126930539.085442
2021-06-01,9940096495.824659,3197482691.296865,0,0,0,0,0,0,0,13137579187.121525
2021-07-01,7798104025.021557,1924167134.522359,0,0,0,0,0,0,5055779.759639,9727326939.303556
2021-08-01,7205474414.835336,3449261356.037047,0,0,0,0,0,0,2519647.246816,10657255418.119200
2021-09-01,7108699751.405569,2735762772.723986,0,0,0,0,0,0,6737655.722552,9851200179.852106
2021-10-01,12470718268.774874,6525971295.529478,0,0,0,0,0,0,6811383.076057,19003500947.380409
2021-11-01,13742556599.715353,7538117342.339403,0,0,0,0,0,0,8782081.342464,21289456023.397221
2021-12-01,9710522922.795872,5905572511.308659,0,0,0,0,0,0,1377404.338818,15617472838.443348
2022-01-01,5621695159.979558,3603689207.642851,0,0,0,0,0,0,967117.601354,9226351485.223764
2022-02-01,7183160875.663255,3291699905.981962,0,0,0,0,0,0,1846537.575968,10476707319.221184
2022-03-01,5372154579.232816,3607627868.373841,0,0,0,0,0,0,946808.900190,8980729256.506847
2022-04-01,5036687230.214593,2538981663.971391,0,0,0,0,0,0,939107.348920,7576608001.534904
2022-05-01,3313088314.358808,1870645408.597898,0,0,0,0,0,0,564313.972140,5184298036.928846
2022-06-01,4188828279.387329,1826184265.147501,0,0,0,0,0,0,272272.548035,6015284817.082865
2022-07-01,1986058507.631698,1292022443.887111,0,0,0,0,0,0,31940.984043,3278112892.502851
2022-08-01,3995356060.531003,1490112173.473160,0,0,0,0,0,0,21053.332620,5485489287.336782
2022-09-01,1735475920.393452,982394751.020030,0,0,0,0,0,0,15170.599815,2717885842.013297
2022-10-01,1632601840.355522,764506399.278331,0,0,0,0,0,0,148101.913167,2397256341.547021
2022-11-01,2258927392.387976,2054353504.592664,0,0,0,0,0,0,165195.635060,4313446092.615699
2022-12-01,939892154.649503,718812331.072753,0,0,0,0,0,0,50087.204369,1658754572.926625
2023-01-01,1576751653.482376,1634171133.674291,0,0,0,0,0,0,303090.651196,3211225877.807862
2023-02-01,1360401784.317492,957560261.362978,0,0,0,0,0,0,1261268.159977,2319223313.840446
2023-03-01,3831824071.536669,3142228709.526493,0,0,0,0,0,4.853413,4665848.188223,6978718634.104797
2023-04-01,857526937.791039,1329357013.919719,0,0,0,0,0,8.923530,292181.335916,2187176141.970204
2023-05-01,608823845.388748,935930786.398038,0,0,0,0,0,8.633457,430007.441741,1545184647.861983
2023-06-01,1081302611.769842,1119409666.314472,0,0,0,0,0,0,1209702.303966,2201921980.388280
2023-07-01,1197128768.978481,615314601.923300,0,0,0,0,0,17.167053,681949.979907,1813125338.048740
2023-08-01,1029957109.182039,945103085.213446,0,0,0,0,0,997.976406,65018.300865,1975126210.672756
2023-09-01,862890158.254727,561265728.507555,0,0,0,0,0,21.275749,56610.244432,1424212518.282462
2023-10-01,1264523153.817635,981586909.753706,0,0,0,0,0,5590.495197,58433.067221,2246174087.133759
2023-11-01,1129381133.997024,757103362.645795,0,0,0,0,0,34140.552113,0,1886518637.194932
2023-12-01,1280325726.076977,1078491239.170864,0,0,0,0,7465970.073878,50769.736888,155385.388761,2366489090.447368
2024-01-01,1482926913.751527,1400497486.326922,0,0,0,0,38508419.465219,13425.444333,162118.042093,2922108363.030095
2024-02-01,1874481978.199019,1106113959.736757,8631671.123768,0,0,0,47875784.575356,3105.326582,4661762.451631,3041768261.413114
2024-03-01,3105616611.953903,2003503410.646522,16144344.418795,0,0,0,76563685.720165,4968.057039,32654109.683735,5234487130.480159
2024-04-01,2068902264.544645,1520764221.958617,7098876.776524,0,0,0,92923345.526776,6070.131055,5421661.195533,3695116440.133151
2024-05-01,2879191591.928903,1624564076.834133,5515731.314378,0,0,0,71578797.858731,4236.931429,0,4580854434.867574
2024-06-01,1906316899.390814,1152148155.779454,11653712.806824,0,0,0,30345029.948927,1010.221269,0,3100464808.147288
2024-07-01,3474618106.361781,2251040285.313453,17122645.202028,0,0,0,15920402.610071,0,0,5758701439.487332
2024-08-01,3620713150.073563,2953611213.588797,94263528.086101,0,0,0,13439639.327137,0,0,6682027531.075598
2024-09-01,5361368696.712112,1877948173.828970,180586245.387247,0,0,0,26526449.752157,0,0,7446429565.680487
2024-10-01,12820619007.666645,2105819240.627581,197951960.072469,0,0,0,18885483.350725,0,0,15143275691.717421
2024-11-01,12421241192.036993,3301449145.925799,150795119.530547,0,0,0,36185852.953703,0,0,15909671310.447041
2024-12-01,12035039989.666956,3625431541.132867,72540693.030071,0,0,0,35201395.114883,0,0,15768213618.944778
2025-01-01,13279241916.756355,2035704353.634279,34106373.755812,0,0,0,77975751.909459,0,0,15427028396.055906
2025-02-01,13078188638.420630,2975941610.139866,34380399.226538,0,0,0,33209333.870348,0,0,16121719981.657381
2025-03-01,5856891068.560437,2737016308.677774,15339696.558058,0,18164448.758825,0,70230528.770173,0,0,8697642051.325268
2025-04-01,5462540839.973290,4776843653.155576,13031092.398749,11369297.165908,19663336.473569,0,54217156.593807,0,0,10337665375.760900
2025-05-01,7411511647.486424,8219151151.878363,18271440.867714,42471219.082820,55630634.702280,1594.903849,46133513.970031,0,0,15793171202.891483
2025-06-01,6665147796.329579,6741974013.758543,9857370.387451,144055270.893897,62520831.565364,37903554.056181,20311334.888474,0,0,13681770171.879492
2025-07-01,10908820238.247030,14117501327.127525,24216312.390116,263046673.060686,90362091.477678,75236839.175425,8219136.099912,0,0,25487402617.578373
2025-08-01,16463133119.008316,15379842697.669872,56594875.938241,216324228.142543,111684905.993723,107075822.044256,5863245.173005,0,0,32340518893.969959
2025-09-01,18659819674.476166,17418800527.895435,325058200.936114,145255453.289741,189525394.616541,52390836.198921,3985764.306857,431915.652981,0,36795267767.372749
2025-10-01,21538823053.241329,16329087211.351042,449074682.413102,277228980.955405,163980896.463430,32111785.927073,5678056.839026,4826667.911059,0,38800811335.101463
2025-11-01,9512423915.917349,11748636707.536310,659200624.218873,187842062.426114,107813091.974334,14691981.885855,2367946.093354,11313632.090382,0,22244289962.142567
2025-12-01,8229027887.073895,7526422945.663692,657178927.321289,261633455.612194,94369775.026259,27320582.981966,17439594.271370,76679269.472869,0,16890072437.423532
2026-01-01,9881479882.961756,6301057130.365443,404593495.809668,118370650.518893,136061330.812281,42662955.697189,11217806.436748,54859574.365534,0,16950302826.967510
2026-02-01,7095654971.782610,8553314569.458940,565641096.588030,95831135.897246,166851457.220851,68776926.907082,2179208.791135,28930040.198588,0,16577179406.844482
2026-03-01,9926774846.987560,7998029962.080392,664319475.631572,364043354.584880,97720691.335895,81927471.968681,3606113.089184,16264496.879145,0,19152686412.557312
2026-04-01,7846697521.664979,8486204252.815671,907333023.641539,449026339.710896,60021494.315863,201050256.111809,2658678.358741,8514855.862985,0,17961506422.482483
2026-05-01,4970011082.701838,4751011235.795463,557669387.711194,408015838.158819,394300970.829895,212096358.048246,10511224.295279,4351762.532531,0,11307967860.073263
2026-06-01,645000487.764820,320706038.198312,100571983.120666,64760016.218128,5396353.594562,9304610.915901,568799.771057,121001.284518,0,1146429290.867965
